player_id,name,fetched_at
32881118,Anuj Bande,2026-09-01T20:30:29.296971+00:00
33648379,Vivek Chaturvedi,2026-09-01T20:30:29.296971+00:00
33758395,Aditya Bansod,2026-09-01T20:30:29.296971+00:00
33763976,Kuldip Bisen,2026-09-01T20:30:29.296971+00:00
33863990,Satyam Tiwari,2026-09-01T20:30:29.296971+00:00
34487193,MS Sayyad,2026-09-01T20:30:29.296971+00:00
34487194,Omkar Dnyanmote,2026-09-01T20:30:29.296971+00:00
34488621,Vishal Jagtap,2026-09-01T20:30:29.296971+00:00
34489380,Vaibhav Mhaskar,2026-09-01T20:30:29.296971+00:00
34500861,Manish Khade,2026-09-01T20:30:29.296971+00:00
34502847,Akshay Thosar,2026-09-01T20:30:29.296971+00:00
34508426,Diwakar Barde,2026-09-01T20:30:29.296971+00:00
34514683,Nikhil Jogdand,2026-09-01T20:30:29.296971+00:00
34516901,Akshay Pujari,2026-09-01T20:30:29.296971+00:00
34553380,Sushant Shinde,2026-09-01T20:30:29.296971+00:00
34567260,Maroti Sorgekar,2026-09-01T20:30:29.296971+00:00
34636940,Yatharth Mishra,2026-09-01T20:30:29.296971+00:00
34709614,Krishna Agrawal,2026-09-01T20:30:29.296971+00:00
35212945,Gopal Pawar,2026-09-01T20:30:29.296971+00:00
35271975,Nilesh Deshmukh,2026-09-01T20:30:29.296971+00:00
35272105,Balaji Dongare,2026-09-01T20:30:29.296971+00:00
35289461,Vinayak Raut,2026-09-01T20:30:29.296971+00:00
35428548,Virendra Panpatil,2026-09-01T20:30:29.296971+00:00
35905782,Abhijeet Deshmukh,2026-09-01T20:30:29.296971+00:00
36449071,Swapnil Patil,2026-09-01T20:30:29.296971+00:00
36473816,vikas yadav,2026-09-01T20:30:29.296971+00:00
37011117,Zeeshan Ali,2026-09-01T20:30:29.296971+00:00
37765824,Omkar Bhujbal,2026-09-01T20:30:29.296971+00:00
38250712,Sharad,2026-09-01T20:30:29.296971+00:00
38717191,Atul Gupta,2026-09-01T20:30:29.296971+00:00
38757943,Rahul Lepse,2026-09-01T20:30:29.296971+00:00
42539161,Nawal Patel,2026-09-01T20:30:29.296971+00:00
42570197,Ashok Ghuge,2026-09-01T20:30:29.296971+00:00
42571233,KIRAN,2026-09-01T20:30:29.296971+00:00
42581467,Onkar J,2026-09-01T20:30:29.296971+00:00
42601391,Hemant Raut,2026-09-01T20:30:29.296971+00:00
